"CUENTA_CONTABLE"|"FECHA"|"Empresa"|"Mov_Local"|"MOV_DOLAR"|"Balance_Final"|"Balance_Final_Dolar"
"1.1.1.01.6.004"|"2025-02-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2025-01-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-12-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-11-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-10-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-09-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-08-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-07-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-06-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-05-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-04-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-03-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-02-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2024-01-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-12-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-11-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-10-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-09-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-08-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-07-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-06-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-05-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-04-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-03-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-02-01"|febeca|0|0|0|0
"1.1.1.01.6.004"|"2023-01-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-12-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-11-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-10-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-09-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-08-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-07-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-06-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-05-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-04-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-03-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-02-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2026-01-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-12-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-11-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-10-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-09-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-08-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-07-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-06-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-05-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-04-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-03-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-02-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2025-01-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-12-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-11-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-10-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-09-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-08-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-07-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-06-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-05-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-04-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-03-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-02-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2024-01-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-12-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-11-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-10-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-09-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-08-01"|febeca|-18.550,29|0|0|0
"1.1.1.01.6.995"|"2023-07-01"|febeca|18.550,29|0|18.550,29|0
"1.1.1.01.6.995"|"2023-06-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-05-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-04-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-03-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-02-01"|febeca|0|0|0|0
"1.1.1.01.6.995"|"2023-01-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-12-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-11-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-10-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-09-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-08-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-07-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-06-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-05-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-04-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-03-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-02-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2026-01-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-12-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-11-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-10-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-09-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-08-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-07-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-06-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-05-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-04-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-03-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-02-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2025-01-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-12-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-11-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-10-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-09-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-08-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-07-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-06-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-05-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-04-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-03-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-02-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2024-01-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-12-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-11-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-10-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-09-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-08-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-07-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-06-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-05-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-04-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-03-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-02-01"|febeca|0|0|0|0
"1.1.1.02.1.002"|"2023-01-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-12-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-11-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-10-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-09-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-08-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-07-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-06-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-05-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-04-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-03-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-02-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2026-01-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-12-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-11-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-10-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-09-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-08-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-07-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-06-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-05-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-04-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-03-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-02-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2025-01-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-12-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-11-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-10-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-09-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-08-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-07-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-06-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-05-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-04-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-03-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-02-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2024-01-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2023-12-01"|febeca|0|0|0|0
"1.1.1.02.1.003"|"2023-11-01"|febeca|0|0|0|0
